time_s,pelvis_flex_deg(Z),pelvis_abd_deg(X),pelvis_rot_deg(Y)
4.368582,2.407,6.717,-1.722
4.385384,1.814,6.855,-2.093
4.402186,1.207,6.902,-2.343
4.418989,0.567,6.867,-2.504
4.435791,0.059,6.687,-2.477
4.452593,-0.451,6.469,-2.366
4.469395,-0.830,6.149,-2.118
4.486198,-1.188,5.810,-1.793
4.503000,-1.380,5.381,-1.521
4.519802,-1.481,4.840,-1.280
4.536604,-1.742,4.255,-1.094
4.553406,-2.049,3.640,-0.877
4.570209,-2.384,3.048,-0.690
4.587011,-2.687,2.516,-0.498
4.603813,-2.959,2.022,-0.376
4.620615,-3.231,1.557,-0.315
4.637418,-3.223,1.082,-0.183
4.654220,-3.208,0.600,0.033
4.671022,-3.083,0.158,0.379
4.687824,-2.667,-0.199,0.818
4.704627,-2.025,-0.561,1.329
4.721429,-1.222,-0.965,1.925
4.738231,-0.464,-1.387,2.477
4.755033,0.262,-1.832,3.003
4.771836,0.891,-2.241,3.417
4.788638,1.345,-2.580,3.652
4.805440,1.593,-2.793,3.717
4.822242,1.699,-2.887,3.575
4.839045,1.706,-2.864,3.354
4.855847,1.629,-2.714,3.021
4.872649,1.531,-2.498,2.674
4.889451,1.383,-2.184,2.266
4.906253,1.191,-1.799,1.803
4.923056,1.002,-1.299,1.356
4.939858,0.836,-0.712,0.976
4.956660,0.872,-0.116,0.763
4.973462,1.022,0.482,0.739
4.990265,1.279,1.051,0.706
5.007067,1.462,1.614,0.522
5.023869,1.539,2.186,0.190
5.040671,1.602,2.745,-0.206
5.057474,1.772,3.282,-0.495
5.074276,1.946,3.679,-0.809
5.091078,2.095,3.936,-1.075
5.107880,2.073,4.154,-1.385
5.124683,1.968,4.286,-1.772
5.141485,1.715,4.362,-2.130
5.158287,1.391,4.400,-2.308
5.175089,1.007,4.410,-2.414
5.191892,0.478,4.397,-2.493
5.208694,-0.083,4.279,-2.555
5.225496,-0.643,4.169,-2.487
5.242298,-1.111,3.965,-2.334
5.259100,-1.412,3.675,-2.063
5.275903,-1.672,3.433,-1.768
5.292705,-1.909,3.158,-1.514
5.309507,-1.949,2.778,-1.233
5.326309,-1.997,2.289,-0.977
5.343112,-2.014,1.728,-0.670
5.359914,-2.047,1.216,-0.386
5.376716,-2.072,0.610,-0.133
5.393518,-2.174,0.063,0.115
5.410321,-2.298,-0.431,0.315
5.427123,-2.363,-0.965,0.551
5.443925,-2.230,-1.532,0.945
5.460727,-2.018,-2.044,1.357
5.477530,-1.623,-2.477,1.848
5.494332,-1.032,-2.933,2.338
5.511134,-0.407,-3.402,2.808
5.527936,0.314,-3.835,3.301
5.544738,0.999,-4.221,3.629
5.561541,1.604,-4.578,3.831
5.578343,1.992,-4.802,3.869
5.595145,2.196,-4.849,3.725
5.611947,2.289,-4.783,3.556
5.628750,2.397,-4.602,3.428
5.645552,2.427,-4.298,3.329
5.662354,2.418,-3.899,3.202
5.679156,2.285,-3.377,2.981
5.695959,2.175,-2.655,2.687
5.712761,2.063,-1.825,2.348
5.729563,2.170,-0.976,2.135
5.746365,2.315,-0.109,1.965
5.763168,2.387,0.755,1.606
5.779970,2.367,1.607,1.086
5.796772,2.247,2.459,0.389
5.813574,2.226,3.249,-0.266
5.830377,2.234,3.975,-0.922
5.847179,2.186,4.452,-1.494
5.863981,2.143,4.790,-1.906
5.880783,1.970,5.032,-2.291
5.897585,1.762,5.109,-2.664
5.914388,1.433,5.107,-3.005
5.931190,0.971,5.021,-3.273
5.947992,0.432,4.880,-3.525
5.964794,-0.314,4.659,-3.838
5.981597,-1.050,4.404,-4.029
5.998399,-1.627,4.151,-4.076
6.015201,-2.077,3.817,-3.984
6.032003,-2.571,3.539,-3.749
6.048806,-2.785,3.247,-3.390
6.065608,-2.668,2.922,-2.920
6.082410,-2.629,2.510,-2.436
6.099212,-2.529,2.034,-1.794
6.116015,-2.425,1.614,-1.123
6.132817,-2.359,1.192,-0.502
6.149619,-2.340,0.783,0.107
6.166421,-2.389,0.455,0.602
6.183224,-2.221,0.105,0.971
6.200026,-2.284,-0.215,1.235
6.216828,-2.403,-0.500,1.510
6.233630,-2.255,-0.670,1.807
6.250432,-1.989,-0.797,2.015
6.267235,-1.436,-1.042,2.388
6.284037,-0.914,-1.271,2.690
6.300839,-0.456,-1.664,2.874
6.317641,-0.114,-2.098,2.916
6.334444,0.116,-2.575,2.962
6.351246,0.251,-3.040,2.939
6.368048,0.246,-3.420,2.833
6.384850,0.208,-3.722,2.649
6.401653,0.247,-3.936,2.550
6.418455,0.210,-3.962,2.372
6.435257,0.262,-3.925,2.270
6.452059,0.363,-3.694,2.178
6.468862,0.479,-3.261,1.947
6.485664,0.481,-2.632,1.532
6.502466,0.522,-1.835,1.093
6.519268,0.523,-0.979,0.603
6.536071,0.575,-0.070,0.225
6.552873,0.476,0.877,-0.306
6.569675,0.253,1.804,-0.990
6.586477,-0.002,2.700,-1.792
6.603279,-0.242,3.531,-2.602
6.620082,-0.398,4.145,-3.154
6.636884,-0.429,4.594,-3.559
6.653686,-0.546,4.904,-3.966
6.670488,-0.710,5.125,-4.384
6.687291,-1.021,5.281,-4.903
6.704093,-1.433,5.302,-5.368
6.720895,-1.928,5.275,-5.754
6.737697,-2.495,5.211,-6.067
6.754500,-3.131,5.173,-6.250
6.771302,-3.682,5.154,-6.343
6.788104,-4.225,5.149,-6.422
6.804906,-4.559,5.125,-6.276
6.821709,-4.699,5.115,-5.954
6.838511,-4.852,4.999,-5.576
6.855313,-4.828,4.752,-5.112
6.872115,-4.668,4.410,-4.582
6.888918,-4.479,4.066,-3.946
6.905720,-4.155,3.686,-3.275
6.922522,-3.832,3.219,-2.640
6.939324,-3.566,2.638,-1.932
